M,K,Sorted Greedy,Random Search, Random Search with History 
5,10,1.13852414321,1.1169864527,1.09318999578
10,10,1.59137151237,1.43948711886,1.44171059203
15,10,2.06828003762,2.00467282298,1.84524450264
20,10,2.53588879811,2.33355273955,2.24260209889
25,10,3.01293849626,2.72225467238,2.63666860191
30,10,3.4922293142,3.23409466702,3.09825104424
