M,K,Sorted Greedy,Random Search, Random Search with History 
5,10,1.00065145917,1.02167119634,1.01080506102
10,10,1.08539204609,1.09297543795,1.07495852037
15,10,1.17812318686,1.04345436223,1.04864567747
20,10,1.27645280484,1.20407976303,1.14331083763
25,10,1.37048177441,1.26869127961,1.20888936391
30,10,1.47158518338,1.30821143922,1.30103520933
