M,K,Sorted Greedy,Random Search, Random Search with History 
5,5,2.8115535016,2.80023591766,2.78728630062
10,10,5.32983227224,5.30343534887,5.21884755841
15,15,7.85980027793,7.79631580648,7.74551271693
20,20,10.3921791681,10.2992082216,10.2448243545
25,25,12.9287560999,12.8446659988,12.789532366
30,30,15.4560837669,15.3620010988,15.3194389684
