M,K,Sorted Greedy,Random Search, Random Search with History 
5,5,1.00060056392,1.00645351737,1.00248368807
10,10,1.08539204609,1.01999165318,1.09144858053
15,15,1.1743060433,1.15758695453,1.01581824289
20,20,1.24754430431,1.17944646329,1.10422328763
25,25,1.34796062744,1.17682535805,1.14577925713
30,30,1.36394173512,1.28561394937,1.30882218218
